Приёмник;Receiver
Сумма входных;Amount of input
сигналов;signals
Сумма входных;Amount of input
Значение y(t);y(t) value
Время t, с;Time t, s
Источник 1;Source 1
Источник 2;Source 2
О примере;About the example
использования;use
суммирования;summation
источников;sources
связей;connections
Пример;An example
для;for
Приёмник;Receiver
Сумма входных;Amount of input
сигналов;signals
Сумма входных;Amount of input
Значение y(t);y(t) value
Время t, с;Time t, s
Источник 1;Source 1
Источник 2;Source 2
О примере;About the example
использования;use
суммирования;summation
источников;sources
связей;connections
Пример;An example
для;for
Приёмник;Receiver
Сумма входных;Amount of input
сигналов;signals
Сумма входных;Amount of input
Значение y(t);y(t) value
Время t, с;Time t, s
Источник 1;Source 1
Источник 2;Source 2
О примере;About the example
использования;use
суммирования;summation
источников;sources
связей;connections
Пример;An example
для;for
Приёмник;Receiver
Сумма входных;Amount of input
сигналов;signals
Сумма входных;Amount of input
Значение y(t);y(t) value
Время t, с;Time t, s
Источник 1;Source 1
Источник 2;Source 2
О примере;About the example
использования;use
суммирования;summation
источников;sources
связей;connections
Пример;An example
для;for
